# lang=nl
woordenboek	dictionary
dagvaarding	a summons, formal request/order to come/appear
dagvaarding	a subpoena, writ requiring someone to appear in court, e.g. to give testimony
plaatsigheid	arity (number of arguments)
nalatigheid	negligence (failure to exercise a standard of care (law))
vlug	quick, fast
staaf	a bar, rod
staaf	a rod cell (in the retina)
zeilen	to sail
Deen	Dane (person from Denmark or of Danish descent)
Deen	short for Deense dog, a canine breed
pianiste	pianist (female)
wrat	wart (type of growth occurring on the skin)
aardworm	an earthworm, the most common terrestrian worm species
aardworm	an insignificant, or even despicable, creature
regenworm	earthworm
drijfzand	quicksand
drijfzand	a treacherous, tricky danger or risk
wachtrij	queue
tatoeëren	to tattoo (to apply a tattoo)
pollepel	wooden spoon, a rather shallow spoon used to stir food while cooking
pollepel	ladle, a large deep spoon used to serve soup and other food
tapijt	carpet (a fabric used as a floor covering)
rozemarijn	rosemary plant ( syn. )
rozemarijn	rosemary; the plant's aromatic leaves, used as a culinary spice (often still on the branch) and in perfume
bezem	broom
voorbode	foreboder, person who foretells something impending
voorbode	indication, telling sign, auspicious or ominous
kalm	calm, tranquil, free of noise and disturbance
kalm	calm, composed, cool-headed
Bosnisch	Bosnian
Bosnisch	Bosnian (the language)
herberg	inn, lodging
positief	positive
positief	positive form of an adjective
positief	positive of an image
vrek	scrooge, miser
vrek	miserly, avaricious
Arabier	inhabitant of Arabia
Arabier	Arab (member of a Semitic people)
handschoen	glove (item of clothing)
biologisch	biological (of biology)
biologisch	organic; produced without chemical pest control (of food)
sterfelijk	mortal
Occitaans	Occitanian, related to Occitania or the Occitan language
Occitaans	Occitan, a Romance language, at home in and eponymous of Languedoc
kelner	waiter
verbuiging	inflection
verbuiging	declension
beleefd	polite (well-mannered)
keton	ketone
discrepantie	discrepancy (inconsistency)
aquarist	an , an aquarium owner or maintainer
magisch	magical, controlled or determined by supernatural magic (not illusionism)
magisch	enchanting, spell-bound etc.
magisch	psychedelic
syndroom	syndrome
creativiteit	creativity
seksuologie	sexology (the study of sex and sexuality)
knowhow	know-how
etnische zuivering	ethnic cleansing
Odyssee	the Odyssey
Schots-Gaelisch	Scottish Gaelic
vermarkten	to market
artiest	artist
revanchistisch	revanchist
nederzetting	settlement
handelspost	trading post
heelkunde	surgery (discipline)
gelegenheid	occasion, opportunity
gelegenheid	venue such as a restaurant
crassula	, any plant of genus
bassin	basin, reservoir, bowl
bassin	basin, drainage basin
-ma	occurring in Dutch surnames of Frisian origin, ma is probably a shortened form of the old Frisian genitive plural -monna, 'the men's'. After this suffix had fallen into disuse in the Frisian language, it came to be considered as a suffix to form family names
onwelvoeglijk	inappropriate (as in cursing)
onwelvoeglijk	undesired
tegenspoed	adversity (state)
zalmkleurig	salmon (having a salmon colour)
krik	jack (mechanical device for lifting heavy machinery)
kanariegeel	canary (colour)
vonnis	judgment, decision
marter	marten (mammal)
gammel	shaky, dilapidated, ramshackle
stenografie	stenography
atoom	an atom (building bloc of molecules)
atoom	a tiny bit
Belgisch	Belgian (of or pertaining to Belgium or its people)
Belgisch	Belgic
Kirgizisch	Kyrgyz (of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language)
Kirgizisch	Kyrgyz (language)
kristal	crystal
weegschaal	scale (device to measure weight)
kwestie	question, matter (a topic under discussion)
materiaal	material (matter)
stillen	to calm down, to hold up
hinderen	to hinder, impede
hinderen	to be in the way, to be a problem
badkuip	bathtub
hysterisch	hysterical, hysteric
identiek	identical (exactly equal to)
picknicken	to picnic, to have a picnic
smidse	forge, smithy (workshop of a smith)
organel	organelle (a membrane bound compartment found within cells)
huig	uvula (appendage that hangs from the palate)
affiche	a placard, a poster containing an announcement or promotional information hung in a public space
Noors	Norwegian
Noors	the Norwegian language
competitie	competition
competitie	competition, rivalry
vlakte	flatness, levelness
vlakte	a plain, flatland
Kanaaltunnel	Channel Tunnel
kanaal	canal
kanaal	television or internet channel
kanaal	channel
gaffel	a two-pronged pitchfork or bident
gaffel	any two-pronged fork, such as a carving fork
gaffel	a two-pronged antler of a two-year-old stag
abnormaal	abnormal (not conforming to rule or system)
spraakkunst	grammar (rules for speaking and writing a language)
batterij	battery, tactical artillery unit
batterij	electrical battery, power storage device
lieveheersbeestje	ladybird, ladybug, insectivore beetle of the family
muildier	mule (the sterile hybrid offspring of a male donkey or ass (he-ass, jackass, jack) and a female horse (mare))
tabak	the tobacco plant
tabak	tobacco, the product made from leaves of certain of its varieties, to be smoked in cigars etc., sniffed or chewed
tabak	something excellent, something outstanding
rauw	raw, uncooked
rauw	raw, in a roughed up state, e.g. skinned or infected
rauw	hard, cruel, gross, rude
Afrikaan	African (a native of Africa)
behoren	to belong
behoren	to befit, behoove
synthetisch	synthetic
vermissen	to go missing
vermissen	to lose, to miss
processie	procession (a group of people or thing moving along in an orderly manner)
leeghoofd	airhead, birdbrain
aritmie	arrhythmia
muleta	(red flag used by toreadors)
idealistisch	idealist
nominatief	nominative, nominal
nominatief	nominative case
tonica	tonic, keynote
Tibetaans	Tibetan (pertaining to Tibet)
fenomeen	phenomenon (observable event)
fenomeen	phenomenon (unexplainable or questionable fact or situation)
tabel	table (grid of data in rows and columns)
syllogisme	a syllogism (inference from premises)
ambivalentie	ambivalence, coexistence of opposing attitudes
gierst	millet (any of a group of various types of grass or its grains used as food)
dikwijls	often
inspannen	to put horses, ponies, donkeys or oxen in front of a cart or carriage
inspannen	to exert (to put in vigorous action)
vluchtstrook	hard shoulder (part of a road where drivers may move to in an emergency)
incontinentie	incontinence, medical inability to regulate one's defecation
overgankelijk werkwoord	transitive verb, a verb that is accompanied by a direct object
muzikant	musician
musicus	musician (a person who plays or sings music)
accusatief	accusative case
dement	senile, demented
drankje	a potion
drankje	a beverage
gierig	desirous, covetous
gierig	greedy, stingy, miserly
wijsvinger	forefinger, index finger
houtskool	charcoal
houtskool	a piece of charcoal
hoofdletter	capital
nachtegaal	nightingale ()
nachtegaal	vocal talent, born singer
geweer	rifle
geweer	gun, in particular a long-barrelled one
geweer	weapon, arm
koord	a rope, cord (length of twisted strands)
forel	a trout
forel	one of certain fish of the subfamily , specifically certain members of the genera and
kruiswoordraadsel	crossword, a word puzzle arranged in rows and columns
kruiswoordpuzzel	crossword, a word puzzle arranged in rows and columns
luitenant	lieutenant
rechterhand	right hand, part of the arm
rechterhand	lieutenant
rechterhand	a trustworthy friend or subordinate, a right-hand man / woman
linkerhand	left hand, part of the arm
linkshandig	left-handed
goudvis	goldfish ()
rechtshandig	right-handed
woerd	drake
woerd	man-made hill or elevation (as used in low areas to protect farmhouses against flooding)
cycloon	cyclone, a storm type with a rotating system of winds
adopteren	to adopt (to take by choice into relationship, as, child, heir, friend, citizen)
analoog	analogue
analoog	analogous (having analogy; corresponding to something else)
sloot	ditch, trench
oneindig	infinite, boundless, endless, unlimited
brandweerman	a fireman, male member of a fire department
kunstenares	artist (female person who creates art)
creatie	creation
creatie	creation, product
schepping	an act of physical creation and/or mental creativity
schepping	its result, compare schepsel 'creature'
schepping	(e.g. Biblical) the supernatural start of all which exists
onsterfelijk	immortal, not susceptible to death
onsterfelijk	unforgettable, lasting; spectacular
schoorsteen	a chimney (vertical tube or hollow column; a flue)
schoorsteen	the smokestack of a steamboat or steam locomotive
voorsteven	prow, bow
papegaaiduiker	puffin (), a diving seabird with a coloured beak
dissociatie	dissociation (act of dissociating)
secundair	secondary (succeeding first)
dorst	thirst, physical need/desire to drink
dorst	thirst, need, longing
handdoek	a towel, a cloth used for drying (sometimes for cleaning) one's hands
timmerman	male carpenter
lijmen	to glue, join (as) with glue
lijmen	to convince, win over
lijmen	to sing (also about humans); chatter like a bird
archief	archive (place for storing earlier informative material)
parabel	parable
scharnier	hinge (device for the pivoting of a door)
weerstand	resistance
weerstand	electrical resistance
meubilair	furniture
nachtmerrie	nightmare
nachtmerrie	ugly woman, witch
Stefanus	Stephen, the protomartyr.
exorcisme	exorcism
creool	in present-day Suriname and various parts of South and Central America, any descendant of African slaves
creool	a Creole, a member of a (Latin) American ethno-cultural group of colonial Iberian blood
creool	a creole language
Slavische	female Slav (person of Slavic origins)
wafelijzer	waffle iron (a cooking appliance used to make waffles)
amputeren	to amputate, surgically remove a body part
amputeren	to remove something essential, to maim, weaken greatly
uw	your
watervliegtuig	seaplane (an aircraft with floaters as landing gear to enable it to land on water)
voortdurend	continuous, incessant
voortdurend	continuously, incessantly, all the time
doneren	to donate
meertaligheid	multilingualism (condition of being able to speak several languages)
berouw	remorse
berouw	regret
berouwen	to (cause to) regret, to rue, to repent
perforator	perforator
mormel	mongrel, mutt, cur, inferior, ugly dog
mormel	unattractive creature
garantie	guarantee
garantie	warranty
bedanken	to thank
bedanken	to decline, to reject
bedankt	thanks
sneeuwen	to snow
sneeuwen	snowy, consisting of snow
sneeuwen	snow white, being the colour of snow
e-mailen	to e-mail
rammen	to ram, to intentionally collide with (a ship or car or building) with the intention of damaging or sinking it
rammen	to strike (something) hard
boomen	to boom
kijk	view, opinion
aanzwellen	to swell
aanzwellen	to swell up, surge
opzwellen	to swell
zwellen	to swell
kortom	in short, summarised, shortly said
soldaat	soldier, private
vulkanisch	volcanic
punani	the female genitalia
Wim	, short for Willem
elektromotor	an electric motor
ressource	resource, means (of existence)
ressource	a way to turn the course of the game, notably in chess
ressource	possibilities, capabilities
minimalistisch	minimalist
laurier	laurel ()
abusievelijk	inadvertently, accidentally
in de maling nemen	to fool, deceive
bedriegen	to deceive
bedriegen	to cheat on one's significant other
noorderling	northerner, someone living in, coming from or associated with the north of the world, a country etc.
zuiderling	southerner, someone living in, coming from or associated with the south of the world, a country etc.
oosterling	easterner, someone living in, coming from or associated with the east of the world, a country etc.
westerling	westerner, someone living in, coming from or associated with the west of the world, a country etc.
baasje	a boy, young male person
baasje	pet owner
duimen	to put one or both thumbs up, notably as a gesture of approval or when hitchhiking to ask for a ride
duimen	to twiddle one's thumbs
duimen	to keep one's fingers crossed
vondeling	foundling, an abandoned and/or orphaned but timely found and raised child
komedie	comedy
doorprikken	to puncture
doorprikken	to expose as false
doorprikken	to puncture through completely
prikken	to sting, to prick
prikken	to poke
prikken	to perforate
ontmaskeren	to unmask, to expose, to reveal
decoratie	ornamental decoration, such as for various festivities
decoratie	honorary decoration, such as a medal
volbloed	thoroughbred, purebred
volbloed	racially pure
volbloed	pedigreed
terminologie	terminology
kapmes	machete
sektarisch	sectarian
