# lang=en
free	unfree
thence	thither
friendly	hostile
friendly	unfriendly
friendly	non-friendly
friendly	nonfriendly
pragmatic	idealistic
laudatory	disparaging
laudatory	derogatory
problem	solution
own	disown
secure	insecure
infinity	finity
should	shouldn't
secular	everlasting
secular	eternal
secular	frequent
secular	unpredictable
secular	non-recurring
unnatural	natural
extraordinary	ordinary
extraordinary	regular
extraordinary	everyday
extraordinary	normal
extraordinary	usual
bless	curse
bless	condemn
bless	unbless
blessing	curse
angelology	demonology
slash	backslash
maximum	minimum
minimum	maximum
simultaneous	sequential
simultaneous	asynchronous
simultaneous	metachronous
textile	nude
textile	clothing optional
textile	naturist
real estate	chattels
real estate	personalty
Americanize	de-Americanize
Americanize	un-Americanize
protagonist	antagonist
closed	open
homogeneous	heterogeneous
homogeneous	inhomogeneous
destructive	constructive
destructive	nondestructive
destructive	non-destructive
destructive	productive
wholesale	retail
bang	hang
characteristic	uncharacteristic
characteristic	untypical
contain	exclude
contain	omit
contain	release
contain	vent
center	periphery
associative	antiassociative
commutative	anticommutative
esoteric	exoteric
obtuse	quick off the mark
obtuse	intelligent
obtuse	on the ball
obtuse	quick-witted
obtuse	smart
obtuse	sharp
obtuse	bright
obtuse	clear
obtuse	sharp
obtuse	acute
obtuse	acute
obtuse	acute-angled
obtuse	sharp
obtuse	pointed
detriment	benefit
xenophobe	xenophile
user	nonuser
user	non-user
transcendence	immanence
feckless	effective
feckless	meaningful
feckless	useful
feckless	efficient
feckless	purposeful
feckless	careful
feckless	responsible
solstice	equinox
nice	horrid
nice	nasty
nice	horrible
nice	horrid
nice	nasty
nice	horrible
nice	distasteful
nice	nauseating
nice	sickening
nice	rancid
nice	foul
nice	horrid
nice	unsatisfactory
nice	awful
nice	rank
nice	putrid
nice	gross
nice	nasty
nice	disgusting
nice	horrible
nice	naughty
newbie	knowbie
flood	drain
import	export
import	export
import	insignificance
explosion	implosion
wealthy	Thesaurus:impoverished
publish	private
silence	audibility
silence	loudness
silence	vocality
loud	soft
loud	quiet
loud	silent
loud	quiet
believe	disbelieve
believe	doubt
believe	suspect
believe	distrust
believe	mistrust
nothing	anything
nothing	everything
nothing	something
fan	anti-fan
fan	hater
fail	succeed
strong	weakly
strong	forcelessly
strong	powerlessly
useless	useful
useless	skillful
pole	zero
prescribe	proscribe
proscribe	prescribe
tie	unfasten
tie	untie
violence	peace
violence	nonviolence
childish	mature
childish	adultish
childish	adultlike
childish	adult
atto-	exa-
exa-	atto-
peta-	femto-
yocto-	yotta-
yotta-	yocto-
zepto-	zetta-
zetta-	zepto-
