# lang=ca
gratis	free, for free
federal	blackbird
palla	straw, hay
palla	drinking straw
toc	touch
toc	a piece of music played as a signal, e.g. in the military; flourish, fanfare, bugle call
psicologia	psychology
fenil	phenyl
Samos	(island)
quasi	almost, nearly,
forma	form; shape
rem	rowing
fagot	bassoon (wind instrument)
paio	dude, man (losing its original meaning of non-Romani)
paio	gadjo
furor	, frenzy
furor	rage, craze
fecund	fruitful
fecund	fertile
prendre	to take
prendre	to drink
prendre	to make (a decision)
meu	my, mine
comal	coombe
problema	problem
problema	problem
rai	Exclamation to assent or agree, in accordance with something obvious, of recognition of the evidence or of the great ease of what is said or what was just said.
prat	meadow
mina	lead (of a pencil)
primal	A sheep, goat, or bovine from the time it has lost its milk teeth until these are replaced with a second adult set (i.e. older than a year but less than three years of age).
habitant	inhabitant
fondo	deeply
fonema	phoneme
terminar	to finish, to end
energia	(physics) energy, the capacity to do work.
energia	the capacity to move (said of a person or animal).
energia	the capacity to cause an effect (said of a remedy).
gal	Gaulish, Gallic
gal	Gaulish
gens	at all
gens	not any
herald	(messenger)
pena	punishment
pena	penalty
pena	grief, sorrow, pain
suborn	bribery
suborn	bribe
casino	private club
bony	bulk, lump, bump
boga	edge, border, limit
boga	a bogue (), an Atlantic seabreams
boga	cattail
boig	crazy, mad
boig	insane
boig	crazy about, mad about
ocular	eyepiece, eyeglass
nul	null, insignificant, negligible
nul	useless, inept
nul	null, void, invalid
precursor	precursory
fester	festive
fester	party-loving
fester	partygoer
cosa	thing
cosa	affair, matter
trop	trope
trop	too much, too many
trop	too, too much
repugnant	, revolting
flauta	flute
elm	helmet
retort	devious
retort	twisted
retort	twilled yarn
rater	rat-catching
rater	a member of the vesper bat subfamily Myotinae; a mouse-eared bat
metà	methane
fada	fairy
oficina	office
finar	to die
finar	to finish, to end
volar	to fly
volar	to vanish
volar	to blow up
ecologia	ecology
basa	trick
donar	to give
ronda	round (of drinks)
ronda	rounding, surrounding
ronda	roundabout
laborar	to work
fantasia	fantasy
angula	elver, baby eel
fora	out, outside
fora	outside
portar	to carry
portar	to bring
portar	to wear
fatigar	to fatigue, wear out, tire
croquis	sketch
tomb	turn, twist
oro	a suit in a Spanish deck of cards
oro	a card from this suit
plena	in a castell with three or five castellers per level, the column to the right of the rengla
plena	a game similar to bingo popular around Christmastime
restar	to stay, remain
restar	to be left
restar	to subtract
ses	anus, lowermost part of the rectum
ses	feminine plural definite article; the
notar	to note, make a note
plorar	to cry, to weep
relapse	relapsed
relapse	backslider
absenta	absinthe
vigilant	guard, watchman
indignant	outrageous
economia	economy
neta	granddaughter
prohibit	forbidden, outlawed
punt	point
punt	dot, point
punt	point
apuntar	to note, to write down
apuntar	to sign up
apuntar	to point
sola	bottom
sola	gunwale
sempre	always
anticipar	to bring forward; to advance
jurat	juror
jurat	panel of judges
ro	rho; the Greek letter Ρ (lowercase ρ)
rua	street
rua	pack, line
rua	parade
successor	succeeding, following
venir	to come
entre	between
entre	among
compost	compound
cantina	canteen, cafeteria, dining hall
comport	conduct, behaviour
cosset	bodice
sempervirent	evergreen
anca	haunch
citar	to summon, gather together
citar	to quote, cite
tens	tense, taut
tribal	tribe;
vomitar	to vomit
gustar	to taste
sortir	to go out, to leave
sortir	to go out
sortir	to come out, to appear, to emerge
firmament	, heavens
verger	orchard
verger	house garden
guapo	good-looking or handsome (unisex)
guapo	smart or elegant
periquito	budgerigar
fumar	to smoke
fumar	to become smoked or smoky
lesbiana	lesbian
ambient	ambience, atmosphere
ambient	environment
tes	tight, taut
vista	sight, vision
ulterior	, located beyond a certain place
ulterior	in time, happening later
ultra	extreme
ultra	extremist
ultra	in addition to, besides
logística	logistics
campanada	peal, stroke of a bell
clon	clone
pecar	to sin
tuli	thulium
var	varous
potassi	potassium
tocar	to touch
tocar	to feel
tocar	to press (a switch, button)
zombi	zombie
paloma	a parasol mushroom, especially the highly edible
paloma	butterfly
paloma	dove, pigeon
útil	useful, helpful, handy
usurpar	to usurp
usar	to use
usar	to employ
untar	to anoint
untar	to smear, to grease
untar	to bribe
urgir	to be urgent
urna	poll, ballot box
ubicar	to locate a building, a land
úlcera	ulcer
insultar	to insult
ultramar	overseas, abroad
ultramar	ultramarine
ulular	to ululate, to howl
lector	reading
lector	reader
incomplet	incomplete
obtenir	to obtain, to get
prima	premium
petit	small, little
cromo	trading card
cromo	gaudily-dressed person
cinc	a castell built with five castellers on each level
geografia	geography
afer	affair
vostro	your, yours (plural)
cabal	complete, total
cabal	upright, well-rounded
cabal	goods, possessions
best-seller	bestseller
elles	they (feminine)
dita	proverb, saying
vas	glass
vas	vessel
teoria	theory
tesi	thesis
errant	wandering, roving
errant	A polychaete worm of the subclass Errantia
tabular	to tabulate
tabular	to tab
armament	arming
dit	finger, toe
dit	fingerbreadth
coi	a type of hammock made of sailcloth used as a makeshift bunk
rosbif	roast beef
crisi	crisis
triangular	to triangulate
rivet	weather strip, draught excluder
rivet	edging, piping
rivet	hints, traces
vol	flight
vol	flock
vol	shoal
solar	lot, plot
solar	to pave
finestra	window
atmosfera	atmosphere
atmosfera	atmosphere, ambiance
atmosfera	atmosphere
fortuna	fortune, chance
fortuna	fortune, riches
ama	wet nurse
ama	mistress
lax	loose, , slack
ça	here; in this place
mata	bush, shrub
mata	mastic
mata	thicket
meta	finish line
meta	goal, goalpost
cacau	cacao
cacau	cocoa bean
cacau	power shot
vaca	torpedo
vaca	painted comber
mugir	to moo; to low
exigir	to demand
elefant	elephant
puntuar	to punctuate
puntuar	to score points
corbata	necktie, tie
corbata	forestage
alfa	alpha
saxofon	saxophone
número	digit, numeral, number
número	number, sequence of digits
transistor	transistor radio
diplomat	having a diploma
diplomat	graduate, degree-holder
pronom	pronoun
com	as ... as
favorable	favourable
acabar	to finish, complete
acabar	to finish, complete
acabar	to give last touch to something
fusible	, meltable
fusible	fuse (electrical component)
descoberta	discovery
descobrir	to discover
descobrir	to uncover, to reveal
gelosia	jealousy, envy
gelosia	a latticework placed over a window to provide privacy and reduce glare
gelosia	truss
bis	either of two closely-related species of mackerel, the () or the ()
bis	again
bis	encore
plaça	plaza, square
plaça	seat, spot
plaça	a location where castells are presented publicly
gallina	cowardly
cadena	chain
cadena	channel
cadena	chain, string (series of events)
llevar	to remove, to take out
llevar	to raise, to lift, to help get up
llevar	to get up
ferrovia	railway
sabana	savannah
sabor	taste, flavor
jaca	jackfruit
Jesús	Jesus
Jesús	bless you, gesundheit (said after a sneeze)
jornada	day's walk
jornada	shift
jornal	day's pay, wages
jornal	day's work
jornal	a highly-variable unit of area corresponding to the amount of cultivated land that can be worked in a day
tenir	to have, possess
tenir	to hold
jubilar	to retire
judicatura	judiciary
jugada	trick
jugador	player
jugador	gambler
octubre	October
jungla	jungle
juntura	joint
Júpiter	Jupiter
Júpiter	Jupiter
jurar	to swear, to promise
jurar	to affirm
justificable	justifiable
justificar	to justify
justificar	to explain, attribute
juvenil	youthful, juvenile
soper	fond of soup
queda	curfew
quedar	to remain, to be left
quedar	to be (as a result of something)
quedar	to agree to meet up with someone
esposa	wife;
quimera	chimera
quimera	hallucination
quimera	animus, dislike
química	chemistry
quimono	kimono
quinqué	Argand lamp
quinta	a run of five sequential cards of the same suit
quinta	fifth or fifth voice in piece of vocal polyphony
quitar	to absolve; to release
quitar	to compensate
genitals	genitalia
acostar	to bring closer
entendre	to understand
contaminant	contaminating
apagar	to put out; to extinguish
apagar	to go out
apagar	to turn off
decadent	decaying, deteriorating, in decline
adquirir	to acquire
vaga	strike (cessation of work)
tirar	to throw, cast
tirar	to shoot, fire
tirar	to take or go in a certain direction
dors	backside, reverse
faltar	to be lacking
faltar	to be left, to remain
faltar	to be missing, to be absent
missa	church
missa	money
ardor	, passion
medicina	medicine
ventre	belly, abdomen
ventre	the fleshy part of a muscle
servir	to serve
servir	to be useful, to be good for
divers	diverse
divers	several
diamant	diamond
diamant	Any of various species of estrildid finches in the obsolete subfamily Poephilinae.
cultura	culture
boca	mouth
morena	a moray eel, especially the ()
morena	mushroom of the genus
morena	haemorrhoid
moreno	black, brown
genial	genius
genial	brilliant, great
vint	twenty
vint	twenty
herba	grass
herba	marijuana
ordre	order, organization, discipline
ordre	order
ordre	order
nevera	snowfield
nevera	cold room; an icebox
nevera	refrigerator
botella	wineskin
botella	bottle
botella	flask
dolina	doline
dolina	sinkhole
sexe	gender
vit	penis
vit	a whip or baton made from a bull's penis
vit	Vine shoot, tendril
radi	radius
radi	radius
radi	radium
protector	protective
escola	school
referent	referencing, referring
duro	coin worth 5 pesetas
ruta	route
frontera	border, frontier
frontera	façade
cada	every
caminar	to walk
dolor	pain of a continuing nature, especially that of rheumatism
dolor	sorrow or grief of a continuing nature
respirar	to breathe
tel	membrane
tel	film, skin
elector	voter,
als	to the, at the, toward the
brill	bird call
brill	decoy bird
deliri	delirium
bast	supplied, furnished, provided
bast	rough, crude
bast	packsaddle
boda	wedding
finit	finite
animat	animate
animat	animate
animat	indicating that a portion of a charge is different in tincture from rest of the charge, such as with the eyes of an animal or the flames of a grenade
per cent	percent
traductor	translator
roda	wheel
roda	cartwheel
planar	to hover, circle
planar	to loom over
castor	beaver
Agar	Hagar
August	Augustus
caló	an argot that has been salted with Caló vocabulary
caló	a small cove
Caro	A mythological figure from the comarca of Safor in the Valencian Community said to have the head of a bearded man and the body of an owl.
Cupido	Cupid
Ester	Esther
Ester	Esther
Gal	Gallus
Magne	Magnus
Marcel	Marcellus
Mari	Marius
San	Saint
Terra	Earth
clara	white
marit	husband
nostro	our, ours
maori	Maori
maori	Maori person
maori	Maori language
palau	palace
tonga	a form of tunic worn by Catalan Jews during the Middle Ages
maria	a type of round, flat biscuit
maria	thing of low value, trifle
maria	weed, grass, cannabis
salvador	savior
auge	apogee
auge	peak, zenith
farsi	Farsi; Western Persian
adonis	A beautiful young man, like the mythological Greek Adonis
adonis	pheasant's eye
muscular	muscle;
pronunciar	to pronounce
pronunciar	to deliver (a speech)
pronunciar	to say
lingüística	linguistics
baró	high-ranking man
baró	baron
baró	man who has reached the age of maturity
creatura	creature
khmer	Khmer
khmer	Khmer person
khmer	Khmer, Cambodian
manx	Manx; Manx Gaelic
jovial	cheerful,
Aran	Haran
elegir	to choose, elect
unir	to unite, join
unir	to combine
unir	to link together
prole	offspring, issue, progeny
molt	much, many
molt	a lot, a great deal, a large amount
pondre	to lay
pondre	to set
tim	thymus
medi	medium
medi	environment
medi	medium
nevada	snowfall
somnolent	sleepy, drowsy
exigent	, demanding
reunir	to gather, bring together, assemble, collect, get together
reunió	meeting, gathering
reunió	reunion
caput	kaput
lustre	lustrum
construir	to build; to construct
prohibir	to prohibit
guaraní	Guaraní
guaraní	Guaraní person
islam	Islam
nació	nation
planeta	planet
planeta	destiny; fate
hindi	Hindi
hindi	Hindi
interlingua	Interlingua
culpable	guilty;
valg	Turned outwards
oliver	olive tree
demostrar	to show; to demonstrate
demostrar	to prove
frankfurt	frankfurter, wiener
frankfurt	hot dog
frankfurt	hot dog stand
continuar	to continue
estudiar	to study
busca	a thin branch, straw, spill, etc.
busca	a very small portion of something; speck, crumb, smidgen, etc.
contra	against
meco	weaned calf
meco	animal without a tail
meco	fool, easy mark
oma	wych elm, Scots elm
argüir	to argue a case, etc.
argüir	to discuss
argüir	to indicate
mendicant	begging
morir	to die
kazakh	Kazakh
kazakh	Kazakh person
kazakh	Kazakh language
iftar	, the evening meal that breaks each day's fast during Ramadan.
registrar	to register, to record
destruir	to destroy
salat	salty
salat	salted
roja	madder
roja	a bark beetle of the genus , the larva of which feed on the wood of the olive tree
bullir	to boil
acordar	to agree (on/to)
acordar	to join, marry, put together
acordar	to concede, allow
envers	towards, toward
lamentable	, regrettable
víctima	victim
reporter	informant, accuser, denouncer
reporter	who informs , who denounces
tomar	to catch
après	learnt
dissident	dissenting,
jugar	to play
jugar	to play
jugar	to gamble
graf	graph
saler	salt cellar, salt shaker
saler	a salting table
reverend	respected, revered
plega	bundle, pack
fluir	to flow
soc	stump
soc	block
soc	block, chock
cert	certain
crim	violent crime
regent	, governing
sentiment	emotion; feeling;
assistent	assistant, aid
assistent	attendee
cerca	search
papir	papyrus
mandarina	mandarin orange
parlament	parliament
parlament	conversation
sext	sixth
sext	sixth
muslim	Muslim
muslim	Muslim
separat	separate
sota	under, underneath, below, beneath
sota	below, beneath, underneath
sota	jack, knave
grill	cricket
grill	sprout, shoot
grill	segment, section
ansa	handle
ansa	snare
arpa	claw of an animal
arpa	pitchfork
